name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
29,4,19,16,10.0,"('a', 'a', 'a', 'c', 'c', 'b', 'a', 'e', 'b', 'c')",32,8,30278,6.29e+02,NAN,363,127,3524708,6.53,caeeeacadbbbbbdcceccecccdabbbcbbacaddabbbddebcedaadece,12854
29,5,19,7,24.7,"('b', 'b', 'c', 'a', 'a', 'b', 'b', 'a', 'b', 'd', 'b')",34,12,26938,6.2e+02,NAN,459,149,5592945,0.573,ecbaccbaebb,1211
25,1,8,4,12.5,NAN,8,3,36685,8.19,NAN,8,3,23590,40.4,NAN,120000
25,2,8,5,12.0,NAN,8,3,35481,7.07,NAN,8,3,20448,40.0,NAN,120000
25,3,8,6,10.1,NAN,8,3,29933,8.82,NAN,8,3,25334,40.0,NAN,120000
25,4,8,5,12.3,NAN,8,3,36688,7.81,NAN,8,3,21979,40.3,NAN,120000
25,5,8,7,11.5,NAN,8,3,34086,7.71,NAN,8,3,21920,40.4,NAN,120000
10,1,21,18,35.6,"('b', 'a', 'c', 'c', 'c', 'e', 'e', 'c', 'a', 'b', 'd', 'e', 'e')",40,4,35570,6.14e+02,NAN,80,12,180437,8.43,bceacdbaadccdededaccdbbecdabaebcebecdcaaebbdadacdaabeeadcdbbbbebaabdceabdcdcdbdbddceebaa,13688
10,2,21,7,30.8,"('e', 'e', 'a', 'a', 'e', 'b', 'a', 'c', 'b', 'a')",28,4,18928,6.16e+02,"('e', 'd', 'd', 'b', 'd', 'd')",403,99,4225247,0.922,abbccaebeedeadbadadddbccadcdcadbdcbbbbbbaecbbcceceeabbcbaddacaea,1264
10,3,21,20,8.83,"('c', 'a', 'e', 'c', 'a', 'c', 'd', 'e', 'a', 'a', 'e', 'c', 'a', 'e', 'a')",29,6,17495,6.46e+02,NAN,441,91,5024643,14.3,eeeececaebbecbdcbabecdcaabcbbcaecdcbedabdbbececabeecebeeecebcbaacdbedcebdeedebbadcbdedccccbaacbeeaaccecacecacabebbcebaeaddaacecbdacbbbdbebe,24139
10,4,21,16,14.7,"('e', 'd', 'd', 'b', 'd', 'd')",30,6,18654,6.03e+02,NAN,348,72,3581097,38.7,badbdacdecadacadeecddaccadcabaeaeeabbcdbdbbdabdbecbdabadecaedadedecdbdbdbacdcecebceeccaccdeccebbbeadceeddceaecdbdbbcaaddbeabcebaaebaacaadddaadbadccdedebdbbcccbbdcbddcbbdbcdadebedcbcdaeacccbddabebcbaeabcbaaebcaebddebbedcdaccaeebddedaccadeeecadbbdbcebcecacdeaaeacdd,63463
